nan	0.000000	0.187100	0.251400	0.316200
nan	nan	0.062600	0.251600	0.307300
nan	nan	0.112700	0.255600	0.305600
nan	0.000000	0.175600	0.284400	0.346800
nan	0.000000	0.139700	0.271800	0.305600
nan	nan	0.079200	0.229200	0.301700
nan	nan	0.071300	0.233800	0.277200
nan	0.079800	0.212100	0.264400	0.328800
nan	0.000000	0.152400	0.251500	0.321300
nan	0.044400	0.213400	0.266400	0.315000
nan	0.055700	0.215800	0.305700	0.371000
nan	nan	0.090400	0.214300	0.303200
nan	0.079200	0.210300	0.262500	0.309200
nan	0.000000	0.197100	0.262000	0.295500
nan	0.044200	0.167000	0.226100	0.282800
nan	0.055700	0.217300	0.263900	0.314300
nan	nan	0.158800	0.263300	0.329100
nan	0.051600	0.229800	0.313100	0.357100
nan	nan	0.106200	0.224900	0.306100
nan	0.000000	0.177700	0.237200	0.270000
nan	nan	0.131900	0.237200	0.393500
nan	0.042400	0.210600	0.257400	0.309700
nan	nan	0.072900	0.221700	0.254300
nan	0.062300	0.205500	0.245100	0.334800
nan	nan	0.080100	0.226700	0.289900
nan	nan	0.158300	0.279200	0.372700
nan	0.000000	0.165500	0.225900	0.294900
nan	nan	0.058800	0.228000	0.324900
nan	0.000000	0.213400	0.290200	0.364800
nan	0.000000	0.152600	0.242300	0.309100
nan	nan	0.187100	0.242500	0.354400
nan	0.040500	0.194300	0.251100	0.295500
nan	0.088000	0.213700	0.267400	0.329600
nan	nan	nan	0.233800	0.278000
nan	nan	0.071700	0.225200	0.319800
nan	nan	0.051600	0.222600	0.284100
nan	0.090300	0.216300	0.277300	0.348800
nan	nan	0.122200	0.262100	0.296400
nan	0.000000	0.184700	0.252600	0.325000
nan	0.042400	0.235400	0.276100	0.348300
nan	0.000000	0.210600	0.255300	0.298500
nan	0.044200	0.186700	0.247500	0.285200
nan	nan	0.174600	0.237400	0.294900
nan	0.000000	0.206100	0.275500	0.357100
nan	0.060800	0.217600	0.261000	0.287700
nan	nan	0.044200	0.234800	0.328200
nan	nan	0.132300	0.252300	0.346000
nan	0.098000	0.221300	0.261200	0.321200
nan	0.000000	0.131200	0.250300	0.326200
nan	nan	0.149000	0.267400	0.326400
nan	0.000000	0.168600	0.261000	0.327100
nan	0.073000	0.225400	0.285200	0.352900
nan	nan	0.184300	0.259200	0.309200
nan	nan	0.161500	0.232000	0.290900
nan	0.113100	0.215400	0.289200	0.321200
nan	0.109800	0.235700	0.293700	0.329100
nan	nan	0.060500	0.232000	0.285300
nan	0.000000	0.132500	0.225200	0.284100
nan	nan	0.098100	0.248200	0.295800
nan	nan	0.146600	0.242800	0.286700
